         314666 function calls (311581 primitive calls) in 3.325 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2401    0.001    0.000    0.003    0.000 {method 'join' of 'str' objects}
       87    0.001    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
     1518    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
  156/153    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     1090    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1989    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      691    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      305    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     3913    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
      246    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
    164/6    0.000    0.000    0.665    0.111 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1527(_guarded_repr_or_str)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
      155    0.000    0.000    0.018    0.000 re.py:271(_compile)
    123/5    0.000    0.000    0.664    0.133 <frozen importlib._bootstrap_external>:722(exec_module)
      305    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      405    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.037    0.037 numeric.py:1(<module>)
     1137    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      572    0.000    0.000    0.001    0.000 <string>:1(__new__)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
   254/85    0.000    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      284    0.000    0.000    0.002    0.000 function_base.py:475(add_newdoc)
        4    0.000    0.000    0.001    0.000 enum.py:135(__new__)
       28    0.000    0.000    0.001    0.000 inspect.py:613(cleandoc)
      829    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
      405    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
       36    0.000    0.000    0.015    0.000 sre_compile.py:759(compile)
     3996    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      123    0.000    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
   100/36    0.000    0.000    0.013    0.000 sre_parse.py:417(_parse_sub)
      691    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1036    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      161    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.193    0.193 __init__.py:108(<module>)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
      359    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
  156/153    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      329    0.000    0.000    0.000    0.000 functools.py:67(wraps)
        4    0.000    0.000    0.001    0.000 enum.py:135(__new__)
      829    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
